StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q2,Q2_8_TEXT,Q3,Q4,Q5,Q6,Q7_1,Q7_2,Q7_27,Q7_14,Q7_15,Q7_16,Q7_18,Q7_26,Q7_19,Q7_29,Q7_20,Q7_21,Q7_22,Q7_23,Q7_24,Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q10_10,Q11,Q12,Q12_6_TEXT,Q13,Q14,Q14_3_TEXT,Q15_1_x,Q15_1_y,Q17,Q18,Q18_8_TEXT,Q26,Q26_4_TEXT,Q19,Q20,Q21,Q22,Q23,Q24,Q24_7_TEXT
2022-03-28 12:04:54,2022-03-28 12:07:54,IP Address,100,180,True,2022-03-28 12:07:54,R_3scVu5DOU4dGp4t,qr,EN,Walk,,,17:00,Yes,"Parking availabliity,Health,Exercise",1,,,,,,,,2,3,,,,,,Senior,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off-campus BYU-contracted housing,,,,Provo,,2788,2453,"Vienna, VA","Drive alone or with siblings,Walk",,Female,,No,No,Life Sciences,,"Yes, off campus",Doctorate or professional degree,
2022-03-28 12:09:22,2022-03-28 12:12:18,IP Address,100,176,True,2022-03-28 12:12:20,R_2ZJK3LI96DYQJhc,qr,EN,Walk,,08:00,15:00,Yes,"Parking availabliity,Cost",1,2,,,,,,,,,,,,,,Junior,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off-campus BYU-contracted housing,,,,Provo,,2458,2322,"Fayettevile, North Carolina, USA","Drive alone or with siblings,School bus",,Male,,No,No,Fine Arts and Communications,,"Yes, both on and off campus",No college/post-secondary education,
2022-03-28 12:10:39,2022-03-28 12:12:53,IP Address,100,133,True,2022-03-28 12:12:53,R_3j3691gXGs28CIz,qr,EN,Walk,,08:00,20:00,Yes,Convenience,,,1,,,,,,,,,,,,,Freshman,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off-campus BYU-contracted housing,,,,Provo,,2385,2169,Utah,Drive alone or with siblings,,Male,,No,No,Life Sciences,,"Yes, off campus",Master's degree,
2022-03-28 12:11:45,2022-03-28 12:14:30,IP Address,100,164,True,2022-03-28 12:14:30,R_3dVTkm7FxETGZpY,qr,EN,Walk,,10:00,18:00,No,"Convenience,Mode availabililty,Travel Time",,,1,,,,,,,,,2,3,,,Junior,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,On-campus housing,Heritage Halls,,,,,,,"Owasso, OK, USA",Drive alone or with siblings,,Female,,No,No,Engineering,,"Yes, on campus",Bachelor's degree,
2022-03-28 12:10:16,2022-03-28 12:14:42,IP Address,100,266,True,2022-03-28 12:14:42,R_2sRvaKmnZtLGJqZ,qr,EN,Walk,,11:08,17:50,Yes,"Parking availabliity,Convenience,Distance,Exercise,Travel Time",2,,3,,,,,1,,5,,,4,,,Junior,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off-campus BYU-contracted housing,,,,Provo,,2186,2331,"Riverton, Utah, USA","Drive alone or with siblings,Carpool with peers",,Female,,No,No,Humanities,,"Yes, on campus",Bachelor's degree,
2022-03-28 12:12:31,2022-03-28 12:16:36,IP Address,100,244,True,2022-03-28 12:16:36,R_8wtW42OGBmfNdGF,qr,EN,Walk,,09:45,16:30,Yes,"Parking availabliity,Cost,Convenience,Distance,Exercise",1,2,3,,,,,4,,5,,,,,,Sophomore,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off-campus BYU-contracted housing,,,,Provo,,2008,2159,"Salt Lake City, Utah, USA",Drive alone or with siblings,,Female,,No,No,"Family, Home, and Social Sciences",,"Yes, both on and off campus",Doctorate or professional degree,
2022-03-28 12:12:11,2022-03-28 12:16:59,IP Address,100,288,True,2022-03-28 12:17:00,R_1jpMtOCUqeeK0zp,qr,EN,Dropped off by someone else,,09:00,18:00,No,"Cost,Convenience,Distance,Personal preference,Mode availabililty",,3,4,,,,,2,,,5,1,,,,Junior,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Non-BYU-contracted housing (including with family),,,,Orem,,,,"WPB, FL",Dropped off by parent or guardian,,Female,,Yes,No,Humanities,,"Yes, off campus",No college/post-secondary education,
2022-03-28 12:14:20,2022-03-28 12:17:19,IP Address,100,179,True,2022-03-28 12:17:19,R_3JyqN9tM8Oy82iP,qr,EN,Walk,,20:00,16:00,Yes,"Parking availabliity,Cost,Convenience,Environmental concerns",1,3,4,,,,,,,,,,,2,,Sophomore,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off-campus BYU-contracted housing,,,,Provo,,2448,2386,Oregon,"Dropped off by parent or guardian,School bus",,Male,,No,No,Life Sciences,,No,Master's degree,
2022-03-28 12:10:07,2022-03-28 12:18:37,IP Address,100,509,True,2022-03-28 12:18:37,R_3HFydsXLFsWqZxk,qr,EN,Walk,,08:57,17:00,Yes,"Parking availabliity,Cost,Exercise,Personal preference,Environmental concerns",1,2,,,,,,,,3,4,,,5,,Junior,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off-campus BYU-contracted housing,,,,Provo,,2630,2443,"Henderson, NV USA","Drive alone or with siblings,Dropped off by parent or guardian,Walk",,Female,,No,No,Fine Arts and Communications,,"Yes, both on and off campus",Master's degree,
2022-03-28 12:18:36,2022-03-28 12:22:06,IP Address,100,209,True,2022-03-28 12:22:06,R_3e53sGqvmArzeM5,qr,EN,Walk,,10:45,18:30,Yes,"Parking availabliity,Convenience,Distance,Health,Travel Time",3,,1,,,,,4,5,,,,2,,,Graduate student,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off-campus BYU-contracted housing,,,,Provo,,2276,2295,"Ripon, CA USA","Drive alone or with siblings,Carpool with peers,Dropped off by parent or guardian",,Female,,No,No,Business,,No,Bachelor's degree,
2022-03-28 12:17:44,2022-03-28 12:23:24,IP Address,100,340,True,2022-03-28 12:23:25,R_Rm0vrVhsfrA8Z0t,qr,EN,Walk,,09:00,18:00,Yes,"Parking availabliity,Convenience,Distance,Travel Time",1,,2,,,,,3,,,,,4,,,Junior,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off-campus BYU-contracted housing,,,,Provo,,2008,2018,Colorado,Drive alone or with siblings,,Male,,No,No,Engineering,,"Yes, off campus",No college/post-secondary education,
2022-03-28 12:20:48,2022-03-28 12:24:19,IP Address,100,210,True,2022-03-28 12:24:19,R_1mV3aahtDq7gMP4,qr,EN,Walk,,19:50,17:00,No,"Distance,Mode availabililty",,,,,,,,1,,,,2,,,,Sophomore,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off-campus BYU-contracted housing,,,,Provo,,2124,1413,"Cedar Hills Utah ","Dropped off by parent or guardian,Walk",,Male,,No,No,Life Sciences,,No,Master's degree,
2022-03-28 12:22:38,2022-03-28 12:24:22,IP Address,100,104,True,2022-03-28 12:24:23,R_3LdtRXHUcW0S7E0,qr,EN,Walk,,12:00,20:00,Yes,"Convenience,Weather,Distance,Exercise,Personal preference",,,1,,,2,,3,,5,4,,,,,Junior,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off-campus BYU-contracted housing,,,,Provo,,2762,2118,texas,Drive alone or with siblings,,Female,,No,No,Life Sciences,,"Yes, on campus",Some college,
2022-03-28 12:21:48,2022-03-28 12:26:16,IP Address,100,268,True,2022-03-28 12:26:16,R_3JgyjJEvkRXLsLQ,qr,EN,Walk,,09:00,15:30,Yes,"Convenience,Weather,Distance,Health,Exercise",,,5,,,1,,2,3,4,,,,,,Faculty/Staff,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,,,,"Renting, Multi-family (e.g. apartments)",Provo,,2236,2532,"Kaysville, Utah, USA","Drive alone or with siblings,School bus",,Female,,Yes,No,,Other,,Doctorate or professional degree,
2022-03-28 12:26:18,2022-03-28 12:29:34,IP Address,100,196,True,2022-03-28 12:29:34,R_3Em3mS0b0poCyQk,qr,EN,Walk,,19:49,12:26,Yes,"Convenience,Weather,Distance,Exercise,Personal preference",,,2,,,3,,1,,4,5,,,,,Freshman,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,On-campus housing,Heritage Halls,,,,,,,"Eagle, I’d, USA",Drive alone or with siblings,,Female,,No,No,Education,,"Yes, on campus",Bachelor's degree,
2022-03-28 12:29:39,2022-03-28 12:32:51,IP Address,100,191,True,2022-03-28 12:32:51,R_3hm5p5rJoGBPxRn,qr,EN,Walk,,08:30,19:00,No,"Parking availabliity,Cost,Convenience,Flexibility,Distance",2,1,4,,,,5,3,,,,,,,,Sophomore,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,On-campus housing,Heritage Halls,,,,,,,"Houston, Texas, USA ","Carpool with peers,Dropped off by parent or guardian",,Male,,No,No,Physical and Mathematical Sciences,,"Yes, on campus",Bachelor's degree,
2022-03-28 12:32:41,2022-03-28 12:36:04,IP Address,100,202,True,2022-03-28 12:36:05,R_3F1Z2bxbksd8DBK,qr,EN,The Ryde shuttle bus,,09:20,14:30,Yes,"Parking availabliity,Cost,Convenience,Mode availabililty",1,3,2,,,,,,,,,4,,,,Junior,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off-campus BYU-contracted housing,,,,Provo,,1725,1301,"Redmond, WA",Drive alone or with siblings,,Male,,No,No,Physical and Mathematical Sciences,,"Yes, both on and off campus",Bachelor's degree,
2022-03-28 12:35:40,2022-03-28 12:38:30,IP Address,100,170,True,2022-03-28 12:38:31,R_2qDiIPZUToAm7bg,qr,EN,Walk,,10:30,16:30,Yes,"Parking availabliity,Convenience,Flexibility,Distance,Travel Time",3,,2,,,,1,4,,,,,5,,,Graduate student,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off-campus BYU-contracted housing,,,,Provo,,1906,1941,"North Ogden, UT","Drive alone or with siblings,Carpool with peers",,Female,,No,No,Business,,"Yes, on campus",Master's degree,
2022-03-28 12:35:39,2022-03-28 12:38:56,IP Address,100,197,True,2022-03-28 12:38:56,R_30qIpZMKusPb1Ud,qr,EN,Walk,,08:50,16:14,Yes,"Parking availabliity,Convenience",2,,1,,,,,,,,,,,,,Freshman,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off-campus BYU-contracted housing,,,,Provo,,2012,1782,"North Ogden, Utah",Drive alone or with siblings,,Female,,No,No,Business,,No,Bachelor's degree,
2022-03-28 12:35:42,2022-03-28 12:39:19,IP Address,100,217,True,2022-03-28 12:39:19,R_3fkRbqpkpSSo0n1,qr,EN,Walk,,07:45,18:00,Yes,"Convenience,Safety,Distance,Exercise,Travel Time",,,1,5,,,,2,,4,,,3,,,Junior,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off-campus BYU-contracted housing,,,,Provo,,2250,1932,North Ogden UT USA,Drive alone or with siblings,,Female,,No,No,Business,,No,Some college,
2022-03-28 12:34:33,2022-03-28 12:42:44,IP Address,100,490,True,2022-03-28 12:42:44,R_DOElcGPjhnzNXcl,qr,EN,Walk,,08:55,20:13,Yes,"Cost,Convenience,Flexibility,Health,Travel Time",,3,2,,,,4,,5,,,,1,,,Junior,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off-campus BYU-contracted housing,,,,Provo,,2629,2074,Washington State,"Drive alone or with siblings,Carpool with peers",,Male,,No,No,Life Sciences,,"Yes, both on and off campus",Some college,
2022-03-28 12:36:03,2022-03-28 12:45:40,IP Address,100,576,True,2022-03-28 12:45:40,R_23faJnOqVehsIHa,qr,EN,Walk,,10:15,16:15,Yes,"Convenience,Weather,Distance,Health,Exercise",,,1,,,3,,2,5,4,,,,,,Junior,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off-campus BYU-contracted housing,,,,Other (specify):,"North Ogden ",,,North Ogden Utah,"Drive alone or with siblings,Carpool with peers,Dropped off by parent or guardian",,Female,,No,No,Education,,No,Master's degree,
2022-03-28 12:43:24,2022-03-28 12:46:46,IP Address,100,201,True,2022-03-28 12:46:46,R_3GvyJ2Tq6QJyy9R,qr,EN,Walk,,09:00,17:00,No,"Convenience,Distance,Mode availabililty",,,2,,,,,1,,,,3,,,,Freshman,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,On-campus housing,Heritage Halls,,,,,,,"Farmington, New Mexico, United States","Drive alone or with siblings,Dropped off by parent or guardian",,Male,,No,No,Physical and Mathematical Sciences,,No,Doctorate or professional degree,
2022-03-28 12:42:07,2022-03-28 12:47:27,IP Address,100,320,True,2022-03-28 12:47:28,R_QgCVPO88v7UGzIJ,qr,EN,Walk,,07:50,14:00,Yes,"Convenience,Mode availabililty",,,1,,,,,,,,,2,,,,Junior,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off-campus BYU-contracted housing,,,,Provo,,1862,1606,"Holladay, utah",Drive alone or with siblings,,Male,,No,No,Other/Undeclared,,"Yes, off campus",Master's degree,
2022-03-28 12:43:05,2022-03-28 12:47:28,IP Address,100,263,True,2022-03-28 12:47:29,R_1meYC31aevN6U2x,qr,EN,Other (specify):,I live on campus,08:00,15:00,No,"Cost,Convenience,Mode availabililty",,1,3,,,,,,,,,2,,,,Freshman,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,On-campus housing,Heritage Halls,,,,,,,Louisiana,Walk,,Male,,No,No,Engineering,,"Yes, on campus",Master's degree,
2022-03-28 12:47:07,2022-03-28 12:52:17,IP Address,100,310,True,2022-03-28 12:52:18,R_27xojnSiD6vpCaZ,qr,EN,Drive alone,,11:00,18:00,Yes,"Cost,Convenience,Flexibility,Distance,Mode availabililty",,5,4,,,,3,2,,,,1,,,,Senior,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Non-BYU-contracted housing (including with family),,,,Orem,,,,"American Fork, Utah, USA",Walk,,Male,,Yes,"Yes, 1",Engineering,,"Yes, off campus",Associate's degree,
2022-03-28 12:49:16,2022-03-28 12:52:44,IP Address,100,208,True,2022-03-28 12:52:45,R_2xLiXhfQpCGTCQj,qr,EN,Walk,,09:00,18:30,No,"Cost,Mode availabililty",,1,,,,,,,,,,2,,,,Sophomore,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off-campus BYU-contracted housing,,,,Provo,,2403,2331,"Cedar Rapids, Iowa, US",Drive alone or with siblings,,Female,,No,No,Humanities,,"Yes, on campus",Bachelor's degree,
2022-03-28 12:50:21,2022-03-28 12:53:15,IP Address,100,173,True,2022-03-28 12:53:15,R_3RqIKwGaUqtu2SN,qr,EN,Walk,,07:50,17:00,No,"Convenience,Weather,Health,Exercise,Personal preference",,,1,,,5,,,2,3,4,,,,,Freshman,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,On-campus housing,Heritage Halls,,,,,,,"East Wenatchee, Washington, US",Drive alone or with siblings,,Female,,No,No,Life Sciences,,"Yes, on campus",Doctorate or professional degree,
2022-03-28 13:02:08,2022-03-28 13:05:14,IP Address,100,185,True,2022-03-28 13:05:14,R_XiYWgx0x28KaaMp,qr,EN,Walk,,08:55,18:29,Yes,"Cost,Privacy,Flexibility,Exercise,Personal preference",,5,,,2,,4,,,3,1,,,,,Junior,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off-campus BYU-contracted housing,,,,Provo,,2788,2444,"Brooklyn Park, MN, USA","Drive alone or with siblings,Carpool with peers,School bus",,Female,,No,No,Physical and Mathematical Sciences,,"Yes, on campus",Master's degree,
2022-03-28 13:02:30,2022-03-28 13:06:43,IP Address,100,252,True,2022-03-28 13:06:43,R_1i5pOw7HH00dlO8,qr,EN,The Ryde shuttle bus,,09:10,17:40,Yes,"Cost,Distance,Mode availabililty,Travel Time",,4,,,,,,1,,,,2,3,,,Junior,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off-campus BYU-contracted housing,,,,Provo,,2870,2356,"Bountiful UT USA ",Drive alone or with siblings,,Female,,No,No,Education,,"Yes, on campus",Master's degree,
2022-03-28 13:11:20,2022-03-28 13:14:56,IP Address,100,215,True,2022-03-28 13:14:56,R_31t2B4K3vOya2ur,qr,EN,Walk,,09:45,14:00,Yes,"Parking availabliity,Exercise",1,,,,,,,,,2,,,,,,Senior,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Non-BYU-contracted housing (including with family),,,,Provo,,2005,1641,"Victor, ID, USA",Drive alone or with siblings,,Male,,Yes,No,Engineering,,"Yes, off campus",Bachelor's degree,
2022-03-28 13:19:33,2022-03-28 13:23:22,IP Address,100,228,True,2022-03-28 13:23:22,R_3nuEozoc3OGITDF,qr,EN,Walk,,10:02,18:40,Yes,"Parking availabliity,Cost,Convenience,Travel Time,Environmental concerns",5,2,4,,,,,,,,,,1,3,,Senior,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off-campus BYU-contracted housing,,,,Provo,,2019,1537,"Enid, Oklahoma","Drive alone or with siblings,Dropped off by parent or guardian,School bus,Walk",,Male,,No,No,Physical and Mathematical Sciences,,"Yes, on campus",Master's degree,
2022-03-28 12:00:35,2022-03-28 14:00:34,IP Address,100,7198,True,2022-03-28 14:00:34,R_1d18JcXGweSqiUY,qr,EN,Drive alone,,04:45,18:30,Yes,"Flexibility,Mode availabililty",,,,,,,2,,,,,1,,,,Sophomore,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off-campus BYU-contracted housing,,,,Provo,,1916,1277,"Mckinney, Texas, United States ",Drive alone or with siblings,,Male,,No,No,Business,,"Yes, on campus",Bachelor's degree,
2022-03-28 13:57:39,2022-03-28 14:29:11,IP Address,100,1891,True,2022-03-28 14:29:11,R_1jBWuCSmWlJBjGT,qr,EN,UTA Transit (incl. UVX Bus),,11:00,15:00,Yes,"Parking availabliity,Cost,Convenience,Personal preference,Environmental concerns",1,3,2,,,,,,,,5,,,4,,Graduate student,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Non-BYU-contracted housing (including with family),,,,Provo,,2235,3027,"Guilford, Connecticut","Drive alone or with siblings,School bus",,Female,,Yes,No,Humanities,,"Yes, on campus",Bachelor's degree,
2022-03-28 11:50:32,2022-03-28 15:02:37,IP Address,100,11524,True,2022-03-28 15:02:37,R_1C17skPvv16Ck5n,qr,EN,Walk,,09:00,18:07,Yes,"Parking availabliity,Cost,Distance,Exercise,Environmental concerns",2,1,,,,,,3,,4,,,,5,,Senior,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off-campus BYU-contracted housing,,,,Provo,,1839,1980,,,,,,,,Physical and Mathematical Sciences,,"Yes, on campus",Bachelor's degree,
2022-03-28 15:35:08,2022-03-28 15:38:59,IP Address,100,230,True,2022-03-28 15:39:00,R_2dvaabLtCBI7Gop,qr,EN,Walk,,11:00,17:00,Yes,"Convenience,Distance,Personal preference,Travel Time,Environmental concerns",,,2,,,,,4,,,3,,5,1,,Sophomore,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off-campus BYU-contracted housing,,,,Provo,,2480,2253,"Kennewick,Wa, USA","Drive alone or with siblings,School bus",,Female,,No,No,Life Sciences,,"Yes, off campus",Master's degree,
2022-03-28 15:46:46,2022-03-28 15:52:43,IP Address,100,357,True,2022-03-28 15:52:43,R_2sQGCMIONDJqx9J,qr,EN,Walk,,,18:30,No,"Flexibility,Distance,Health,Exercise,Mode availabililty",,,,,,,4,5,3,2,,1,,,,Junior,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off-campus BYU-contracted housing,,,,Provo,,2443,2413,"Dublin, Ohio, USA","Carpool with peers,Dropped off by parent or guardian,School bus,Bicycle, scooter, skateboard, etc.,Walk",,Male,,No,No,Business,,"Yes, both on and off campus",Doctorate or professional degree,
2022-03-28 16:28:33,2022-03-28 16:32:10,IP Address,100,216,True,2022-03-28 16:32:10,R_3PcTyfbhHiGtm9i,qr,EN,Drive alone,,08:45,20:00,Yes,"Safety,Weather",,,,2,,1,,,,,,,,,,Sophomore,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off-campus BYU-contracted housing,,,,Provo,,2832,2294,"Monroe, Michigan, USA","Drive alone or with siblings,Carpool with peers,School bus",,Male,,No,No,Life Sciences,,"Yes, on campus",Bachelor's degree,
